"User.ID";"nb.Ratings";"mean";"sd";"max";"min";"med"
99;2;6.5;4.95;10;3;6.5
114;3;9.33;0.58;10;9;9
242;1;10;NA;10;10;10
243;13;7.77;1.64;10;5;7
244;7;7.57;1.27;9;6;8
254;17;8.59;0.8;10;7;9
383;1;5;NA;5;5;5
388;5;6.6;2.51;10;3;7
424;3;7;1;8;6;7
446;2;5.5;3.54;8;3;5.5
487;3;6.67;0.58;7;6;7
503;4;10;0;10;10;10
505;2;7;0;7;7;7
507;7;7.71;1.25;10;7;7
566;1;2;NA;2;2;2
567;1;10;NA;10;10;10
595;3;9.33;0.58;10;9;9
638;24;9.42;0.88;10;7;10
643;4;6.25;2.87;8;2;7.5
651;2;7;1.41;8;6;7
709;3;6.67;3.51;10;3;7
735;2;6.5;3.54;9;4;6.5
805;13;8.77;1.17;10;7;9
834;1;7;NA;7;7;7
853;1;8;NA;8;8;8
882;14;8.64;2.17;10;4;10
900;1;9;NA;9;9;9
901;2;9;0;9;9;9
929;5;7.6;1.67;10;6;8
1025;8;8.38;1.51;10;5;9
1063;1;5;NA;5;5;5
1075;8;8;1.77;10;5;8
1083;3;9;1.73;10;7;10
1116;1;6;NA;6;6;6
1129;5;5.2;1.64;7;3;6
1131;15;7;0.93;9;5;7
1155;1;6;NA;6;6;6
1161;2;5;0;5;5;5
1167;4;6.75;2.06;9;5;6.5
1211;2;8.5;0.71;9;8;8.5
1248;2;10;0;10;10;10
1261;4;7.25;0.96;8;6;7.5
1409;4;7;1.83;9;5;7
1412;4;9;0;9;9;9
1424;12;7.08;1;8;5;7
1435;14;6.86;2.41;10;4;6
1548;5;7.4;1.34;8;5;8
1558;3;8.67;1.53;10;7;9
1585;8;6.5;1.2;8;4;7
1608;2;9;1.41;10;8;9
1660;4;6;0.82;7;5;6
1674;5;7.8;2.17;10;5;7
1688;1;5;NA;5;5;5
1706;2;7.5;3.54;10;5;7.5
1733;7;6.71;3.3;10;1;7
1790;2;6.5;2.12;8;5;6.5
1805;3;7.67;1.15;9;7;7
1812;2;8;1.41;9;7;8
1848;9;8.67;1.66;10;5;9
1903;4;8;4;10;2;10
1928;1;10;NA;10;10;10
2010;1;10;NA;10;10;10
2012;6;6.83;2.86;10;2;8
2030;5;10;0;10;10;10
2033;19;8.89;1.59;10;5;10
